Sr. No.,Title,Description,status,post_type,
1036,Lela Donovan,GBC DocuBind TL300 Electric Binding System,Publish,team-member,
1037,Lela Donovan,Storex DuraTech Recycled Plastic Frosted Binders,Publish,team-member,
1038,Shahid Shariari,GBC DocuBind 200 Manual Binding Machine,Publish,team-member,
1039,Shahid Shariari,Staples SlimLine Pencil Sharpener,Publish,team-member,
1040,Trudy Schmidt,Hon Comfortask® Task/Swivel Chairs,Publish,team-member,
1041,Trudy Schmidt,Xerox 204,Publish,team-member,
1042,Christopher Martinez,StarTAC 7760,Publish,team-member,
1043,Mike Vittorini,Newell 35,Publish,team-member,
1044,Marc Harrigan,Acco® Hot Clips™ Clips to Go,Publish,team-member,
1045,Christopher Martinez,Hoover Portapower™ Portable Vacuum,Publish,team-member,
1046,Shahid Shariari,"Wilson Jones Hanging View Binder, White, 1""",Publish,team-member,
1047,Liz Price,Staples Brown Kraft Recycled Clasp Envelopes,Publish,team-member,
1048,Lela Donovan,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Publish,team-member,
1049,Lela Donovan,Xerox 1947,Publish,team-member,
1050,Lela Donovan,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Publish,team-member,
1051,Lela Donovan,Xerox 1950,Publish,team-member,
1052,Mike Vittorini,"Eldon Regeneration Recycled Desk Accessories, Smoke",Publish,team-member,
1053,Shahid Shariari,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Publish,team-member,
1054,Shahid Shariari,Project Tote Personal File,Publish,team-member,
1055,Ralph Kennedy,GBC ProClick™ 150 Presentation Binding System,Publish,team-member,
1056,Rob Dowd,Letter Size Cart,Publish,team-member,
1057,Ralph Kennedy,Accessory2,Publish,team-member,
1058,Khloe Miller,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Publish,team-member,
1059,Khloe Miller,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Publish,team-member,
1060,Khloe Miller,"Sauder Forest Hills Library, Woodland Oak Finish",Publish,team-member,
1061,Shahid Hopkins,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Publish,team-member,
1062,Kristina Nunn,Kensington 6 Outlet Guardian Standard Surge Protector,Publish,team-member,
1063,Kristina Nunn,"#10 White Business Envelopes,4 1/8 x 9 1/2",Publish,team-member,
1064,Ralph Kennedy,Avery 492,Publish,team-member,
1065,Ralph Kennedy,Bretford CR4500 Series Slim Rectangular Table,Publish,team-member,
1066,Ricardo Emerson,"Imation 3.5"" Diskettes, IBM Format, DS/HD, 10/Box, Neon",Publish,team-member,
1067,Ricardo Emerson,Binder Clips by OIC,Publish,team-member,
1068,Lela Donovan,"Career Cubicle Clock, 8 1/4"", Black",Publish,team-member,
1069,Lela Donovan,V8162,Publish,team-member,
1070,Ricardo Emerson,Hoover WindTunnel™ Plus Canister Vacuum,Publish,team-member,
1071,Ricardo Emerson,Flexible Leather- Look Classic Collection Ring Binder,Publish,team-member,
1072,Patrick O'Brill,Okidata ML520 Series Dot Matrix Printers,Publish,team-member,
1073,Patrick O'Brill,"TOPS Voice Message Log Book, Flash Format",Publish,team-member,
1074,Patrick O'Brill,Avery 48,Publish,team-member,
1075,Trudy Schmidt,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
1076,Thomas Brumley,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Publish,team-member,
1077,Thomas Brumley,270c,Publish,team-member,
1078,Shahid Shariari,Hon Olson Stacker Stools,Publish,team-member,
1079,Shahid Shariari,688,Publish,team-member,
1080,Shahid Shariari,6340,Publish,team-member,
1081,Vicky Freymann,Adesso Programmable 142-Key Keyboard,Publish,team-member,
1082,Lela Donovan,DAX Clear Channel Poster Frame,Publish,team-member,
1083,Khloe Miller,"Eldon® Expressions™ Wood Desk Accessories, Oak",Publish,team-member,
1084,Mike Vittorini,Xerox 1905,Publish,team-member,
1085,Trudy Schmidt,Binder Posts,Publish,team-member,
1086,Mike Vittorini,Canon P1-DHIII Palm Printing Calculator,Publish,team-member,
1087,Tony Chapman,Microsoft Natural Keyboard Elite,Publish,team-member,
1088,Liz Price,Accessory41,Publish,team-member,
1089,Liz Price,i500plus,Publish,team-member,
1090,Sarah Bern,Presstex Flexible Ring Binders,Publish,team-member,
1091,Mark Cousins,Keytronic Designer 104- Key Black Keyboard,Publish,team-member,
1092,Shahid Hopkins,Eldon Simplefile® Box Office®,Publish,team-member,
1093,Mark Cousins,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,Publish,team-member,
1094,Giulietta Weimer,"Global High-Back Leather Tilter, Burgundy",Publish,team-member,
1095,Patrick O'Brill,White GlueTop Scratch Pads,Publish,team-member,
1096,Mark Cousins,Accessory25,Publish,team-member,
1097,Daniel Byrd,Belkin ErgoBoard™ Keyboard,Publish,team-member,
1098,Rob Dowd,Newell 346,Publish,team-member,
1099,Mike Vittorini,Avery Hi-Liter® Fluorescent Desk Style Markers,Publish,team-member,
1100,John Murray,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,Publish,team-member,
1101,Khloe Miller,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Publish,team-member,
1102,Kristina Nunn,"80 Minute CD-R Spindle, 100/Pack - Staples",Publish,team-member,
1103,Ralph Kennedy,Acco Suede Grain Vinyl Round Ring Binder,Publish,team-member,
1104,Lela Donovan,Staples Battery-Operated Desktop Pencil Sharpener,Publish,team-member,
1105,Ralph Kennedy,3M Polarizing Light Filter Sleeves,Publish,team-member,
1106,Ralph Kennedy,Xerox 220,Publish,team-member,
1107,Lena Hernandez,"Global Leather Task Chair, Black",Publish,team-member,
1108,Lena Hernandez,"Master Caster Door Stop, Brown",Publish,team-member,
1109,Shahid Hopkins,"Bush Westfield Collection Bookcases, Fully Assembled",Publish,team-member,
1110,Kristina Nunn,6162i,Publish,team-member,
1111,Kristina Nunn,Staples Bulldog Clip,Publish,team-member,
1112,Greg Maxwell,Wausau Papers Astrobrights® Colored Envelopes,Publish,team-member,
1113,Vicky Freymann,"Fellowes Mobile Numeric Keypad, Graphite",Publish,team-member,
1114,Vicky Freymann,iDENi80s,Publish,team-member,
1115,Rob Dowd,5190,Publish,team-member,
1116,Lena Hernandez,M70,Publish,team-member,
1117,Lela Donovan,Acco 6 Outlet Guardian Premium Surge Suppressor,Publish,team-member,
1118,Lela Donovan,Epson LQ-570e Dot Matrix Printer,Publish,team-member,
1119,Mark Cousins,Belkin MediaBoard 104- Keyboard,Publish,team-member,
1120,Ricardo Emerson,G.E. Halogen Desk Lamp Bulbs,Publish,team-member,
1121,Ricardo Emerson,Xerox 1947,Publish,team-member,
1122,Liz Price,Imation 5.2GB DVD-RAM,Publish,team-member,
1123,Liz Price,Avery 481,Publish,team-member,
1124,Liz Price,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Publish,team-member,
1125,Rob Dowd,Canon MP41DH Printing Calculator,Publish,team-member,
1126,Rob Dowd,Filing/Storage Totes and Swivel Casters,Publish,team-member,
1127,Mark Cousins,Carina Double Wide Media Storage Towers in Natural & Black,Publish,team-member,
1128,Giulietta Weimer,Staples® General Use 3-Ring Binders,Publish,team-member,
1129,Giulietta Weimer,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Publish,team-member,
1130,Liz Price,"GE 4 Foot Flourescent Tube, 40 Watt",Publish,team-member,
1131,Sally Knutson,Eldon Image Series Black Desk Accessories,Publish,team-member,
1132,Liz Price,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Publish,team-member,
1133,Liz Price,Ultra Door Pull Handle,Publish,team-member,
1134,Liz Price,Xerox 1920,Publish,team-member,
1135,Gene Hale,Avery 498,Publish,team-member,
1136,Shahid Shariari,Staples® General Use 3-Ring Binders,Publish,team-member,
1137,Justin Hirsh,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Publish,team-member,
1138,Shahid Shariari,Newell 342,Publish,team-member,
1139,Shahid Shariari,Fiskars® Softgrip Scissors,Publish,team-member,
1140,Giulietta Weimer,Micro Innovations 104 Keyboard,Publish,team-member,
1141,Lela Donovan,Canon PC-428 Personal Copier,Publish,team-member,
1142,Ralph Kennedy,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Publish,team-member,
1143,Vicky Freymann,Electrix Halogen Magnifier Lamp,Publish,team-member,
1144,Thomas Brumley,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Publish,team-member,
1145,Ralph Kennedy,Hayes Optima 56K V.90 Internal Voice Modem,Publish,team-member,
1146,Ralph Kennedy,Advantus Map Pennant Flags and Round Head Tacks,Publish,team-member,
1147,Ralph Kennedy,Xerox 1979,Publish,team-member,
1148,Khloe Miller,Hoover Portapower™ Portable Vacuum,Publish,team-member,
1149,Khloe Miller,"Global Leather & Oak Executive Chair, Burgundy",Publish,team-member,
1150,Kristina Nunn,Staples 6 Outlet Surge,Publish,team-member,
1151,Kristina Nunn,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Publish,team-member,
1152,Kristina Nunn,Xerox 1903,Publish,team-member,
1153,Mark Cousins,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Publish,team-member,
1154,Mark Cousins,Eldon Pizzaz™ Desk Accessories,Publish,team-member,
1155,Sally Knutson,Bevis 36 x 72 Conference Tables,Publish,team-member,
1156,Shahid Shariari,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Publish,team-member,
1157,Shahid Shariari,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Publish,team-member,
1158,Sally Knutson,Hon 2111 Invitation™ Series Corner Table,Publish,team-member,
1159,Sally Knutson,Staples Copy Paper (20Lb. and 84 Bright),Publish,team-member,
1160,Sally Knutson,Bevis Rectangular Conference Tables,Publish,team-member,
1161,Sally Knutson,Belkin F9M820V08 8 Outlet Surge,Publish,team-member,
1162,Sally Knutson,"Master Caster Door Stop, Gray",Publish,team-member,
1163,Justin Hirsh,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Publish,team-member,
1164,Justin Hirsh,Recycled Premium Regency Composition Covers,Publish,team-member,
1165,Khloe Miller,Hammermill Color Copier Paper (28Lb. and 96 Bright),Publish,team-member,
1166,Khloe Miller,Xerox 1937,Publish,team-member,
1167,Khloe Miller,Xerox 1986,Publish,team-member,
1168,Shahid Shariari,Accessory12,Publish,team-member,
1169,Ralph Kennedy,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Publish,team-member,
1170,Giulietta Weimer,Microsoft Multimedia Keyboard,Publish,team-member,
1171,Giulietta Weimer,Xerox 1894,Publish,team-member,
1172,Giulietta Weimer,Xerox 210,Publish,team-member,
1173,Heather Jas,BASF Silver 74 Minute CD-R,Publish,team-member,
1174,Vicky Freymann,Accessory32,Publish,team-member,
1175,Vicky Freymann,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Publish,team-member,
1176,Philisse Overcash,Canon PC-428 Personal Copier,Publish,team-member,
1177,Philisse Overcash,Xerox 190,Publish,team-member,
1178,Mark Cousins,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Publish,team-member,
1179,Mark Cousins,Okidata ML390 Turbo Dot Matrix Printers,Publish,team-member,
1180,Shahid Hopkins,Colored Envelopes,Publish,team-member,
1181,Khloe Miller,"Career Cubicle Clock, 8 1/4"", Black",Publish,team-member,
1182,Mark Cousins,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Publish,team-member,
1183,Mark Cousins,Panasonic KX-P3200 Dot Matrix Printer,Publish,team-member,
1184,Mark Cousins,Hon 94000 Series Round Tables,Publish,team-member,
1185,Mark Cousins,Xerox 196,Publish,team-member,
1186,Trudy Schmidt,Xerox 1919,Publish,team-member,
1187,Rob Dowd,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Publish,team-member,
1188,Rob Dowd,Westinghouse Clip-On Gooseneck Lamps,Publish,team-member,
1189,Rob Dowd,Xerox 1893,Publish,team-member,
1190,Neil Knudson,Hewlett-Packard 2600DN Business Color Inkjet Printer,Publish,team-member,
1191,Khloe Miller,Staples Plastic Wall Frames,Publish,team-member,
1192,Rob Dowd,Vinyl Sectional Post Binders,Publish,team-member,
1193,Cathy Armstrong,12-1/2 Diameter Round Wall Clock,Publish,team-member,
1194,Mark Cousins,Round Ring Binders,Publish,team-member,
1195,Mark Cousins,"Metal Folding Chairs, Beige, 4/Carton",Publish,team-member,
1196,Mark Cousins,9-3/4 Diameter Round Wall Clock,Publish,team-member,
1197,Thomas Brumley,StarTAC 6500,Publish,team-member,
1198,Greg Maxwell,i2000,Publish,team-member,
1199,Vicky Freymann,Ames Color-File® Green Diamond Border X-ray Mailers,Publish,team-member,
1200,Vicky Freymann,Hon Non-Folding Utility Tables,Publish,team-member,
1201,Shahid Shariari,Fiskars® Softgrip Scissors,Publish,team-member,
1202,Shahid Shariari,Bretford CR4500 Series Slim Rectangular Table,Publish,team-member,
1203,Shahid Shariari,"Global Leather Task Chair, Black",Publish,team-member,
1204,Shahid Shariari,"Master Giant Foot® Doorstop, Safety Yellow",Publish,team-member,
1205,Tony Chapman,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Publish,team-member,
1206,Neil Knudson,Economy Binders,Publish,team-member,
1207,Neil Knudson,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Publish,team-member,
1208,Neil Knudson,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,Publish,team-member,
1209,Neil Knudson,Xerox 1989,Publish,team-member,
1210,Neil Knudson,Avery 496,Publish,team-member,
1211,Lela Donovan,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Publish,team-member,
1212,Mike Vittorini,Epson LQ-570e Dot Matrix Printer,Publish,team-member,
1213,Heather Jas,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Publish,team-member,
1214,Justin Hirsh,Staples Battery-Operated Desktop Pencil Sharpener,Publish,team-member,
1215,Rob Dowd,Round Ring Binders,Publish,team-member,
1216,Justin Hirsh,Tuff Stuff™ Recycled Round Ring Binders,Publish,team-member,
1217,Justin Hirsh,Xerox 1994,Publish,team-member,
1218,Lela Donovan,Lock-Up Easel 'Spel-Binder',Publish,team-member,
1219,Ralph Kennedy,Avery 514,Publish,team-member,
1220,Ralph Kennedy,Eldon® Wave Desk Accessories,Publish,team-member,
1221,Ralph Kennedy,V8160,Publish,team-member,
1222,Shahid Shariari,Hand-Finished Solid Wood Document Frame,Publish,team-member,
1223,Shahid Shariari,g520,Publish,team-member,
1224,Rob Dowd,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Publish,team-member,
1225,Chuck Clark,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Publish,team-member,
1226,Giulietta Weimer,Avery Printable Repositionable Plastic Tabs,Publish,team-member,
1227,Khloe Miller,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Publish,team-member,
1228,Shahid Shariari,TI 36X Solar Scientific Calculator,Publish,team-member,
1229,Justin Hirsh,Euro Pro Shark Stick Mini Vacuum,Publish,team-member,
1230,Khloe Miller,Dana Halogen Swing-Arm Architect Lamp,Publish,team-member,
1231,Ralph Kennedy,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Publish,team-member,
1232,Shahid Hopkins,Belkin 6 Outlet Metallic Surge Strip,Publish,team-member,
1233,Shahid Hopkins,"Memorex 4.7GB DVD-RAM, 3/Pack",Publish,team-member,
1234,Shahid Hopkins,Xerox 1949,Publish,team-member,
1235,Chuck Clark,"Seth Thomas 12"" Clock w/ Goldtone Case",Publish,team-member,
1236,Bill Eplett,Xerox 1939,Publish,team-member,
1237,Bill Eplett,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Publish,team-member,
1238,Sarah Bern,Xerox 1894,Publish,team-member,
1239,Mark Cousins,Xerox 1979,Publish,team-member,
1240,Lena Hernandez,Xerox 1894,Publish,team-member,
1241,Shahid Shariari,3M Organizer Strips,Publish,team-member,
1242,Khloe Miller,3M Hangers With Command Adhesive,Publish,team-member,
1243,Bill Eplett,"Global High-Back Leather Tilter, Burgundy",Publish,team-member,
1244,Tony Chapman,Canon imageCLASS 2200 Advanced Copier,Publish,team-member,
1245,Bill Eplett,T28 WORLD,Publish,team-member,
1246,Shahid Hopkins,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Publish,team-member,
1247,Shahid Hopkins,DAX Solid Wood Frames,Publish,team-member,
1248,Cathy Armstrong,Xerox 1993,Publish,team-member,
1249,Bill Eplett,Xerox 1907,Publish,team-member,
1250,Patrick O'Brill,Imation DVD-RAM discs,Publish,team-member,
1251,Giulietta Weimer,Fellowes 17-key keypad for PS/2 interface,Publish,team-member,
1252,Sally Knutson,GBC DocuBind P100 Manual Binding Machine,Publish,team-member,
1253,Marc Harrigan,Xerox 1974,Publish,team-member,
1254,John Grady,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
1255,Khloe Miller,"Seth Thomas 12"" Clock w/ Goldtone Case",Publish,team-member,
1256,Tony Chapman,Panasonic KP-150 Electric Pencil Sharpener,Publish,team-member,
1257,Tony Chapman,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Publish,team-member,
1258,Ralph Kennedy,ACCOHIDE® Binder by Acco,Publish,team-member,
1259,Ralph Kennedy,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
1260,Trudy Schmidt,Verbatim DVD-R 4.7GB authoring disc,Publish,team-member,
1261,Trudy Schmidt,Hand-Finished Solid Wood Document Frame,Publish,team-member,
1262,Gene Hale,Xerox 1894,Publish,team-member,
1263,Gene Hale,Accessory20,Publish,team-member,
1264,Sarah Bern,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Publish,team-member,
1265,Justin Hirsh,3M Polarizing Light Filter Sleeves,Publish,team-member,
1266,Justin Hirsh,Canon P1-DHIII Palm Printing Calculator,Publish,team-member,
1267,Justin Hirsh,Xerox 1896,Publish,team-member,
1268,Justin Hirsh,2180,Publish,team-member,
1269,Liz Price,GBC VeloBinder Strips,Publish,team-member,
1270,Liz Price,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Publish,team-member,
1271,Liz Price,Xerox Blank Computer Paper,Publish,team-member,
1272,Greg Maxwell,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Publish,team-member,
